지점,지점명,일시,평균기온(°C),최저기온(°C),일강수량(mm),최대 풍속(m/s),일 최심신적설(cm),체감온도(°C)
98,동두천,2013-01-01,-5.8,-13.3,4.5,4.5,,-7.873635065
98,동두천,2013-01-02,-12.4,-16.4,0,6.5,,-16.55996487
98,동두천,2013-01-03,-14.4,-20.7,,5.1,,-17.99568139
98,동두천,2013-01-04,-13.6,-19.7,,2.7,,-14.98203114
98,동두천,2013-01-05,-10.4,-17.6,,2.6,,-11.39654567
98,동두천,2013-01-06,-9.3,-15.4,,2.9,,-10.51393269
98,동두천,2013-01-07,-8,-14.5,,2.1,,-8.226921529
98,동두천,2013-01-08,-7.2,-12.8,,4,,-9.112052392
98,동두천,2013-01-09,-10.8,-15.1,,4.1,,-13.20866762
98,동두천,2013-01-10,-10.5,-17.5,,4.2,,-12.9483444
98,동두천,2013-01-11,-4.9,-11,,2.5,,-5.340275853
98,동두천,2013-01-12,-0.8,-4.6,0.1,3.4,,-1.592207815
98,동두천,2013-01-13,-3.7,-7.1,,3,,-4.483538601
98,동두천,2013-01-14,-4.7,-9.9,,4.8,,-6.809900369
98,동두천,2013-01-15,-4.7,-10.8,,2.8,,-5.404536431
98,동두천,2013-01-16,-3.3,-6.5,0,3.8,,-4.628487807
98,동두천,2013-01-17,-6.8,-10.4,,3.3,,-8.133234599
98,동두천,2013-01-18,-6.5,-13.7,,3.5,,-7.962492123
98,동두천,2013-01-19,-1.4,-6.7,,4.5,,-2.919766455
98,동두천,2013-01-20,-0.4,-6.2,,2.2,,-0.207288615
98,동두천,2013-01-21,1.6,1.1,12.5,3.4,,1.056812391
98,동두천,2013-01-22,3.1,1.4,,2.4,,3.381021081
98,동두천,2013-01-23,1.4,0.7,1,3.7,,0.656888018
98,동두천,2013-01-24,-1.5,-7.6,1,8.1,,-4.533210911
98,동두천,2013-01-25,-9.6,-12,,7.1,,-13.61322487
98,동두천,2013-01-26,-9.9,-15,,5.2,,-12.94508249
98,동두천,2013-01-27,-8.7,-14,,4.7,,-11.27030465
98,동두천,2013-01-28,-5,-12.5,,3.4,,-6.227993177
98,동두천,2013-01-29,1.7,-0.6,0,1.3,,3.022045053
98,동두천,2013-01-30,4.3,1.6,,1.8,,5.174328124
98,동두천,2013-01-31,7,1.7,0,3.4,,7.017107856
98,동두천,2013-02-01,6.8,4.7,35.5,3.9,,6.562203429
98,동두천,2013-02-02,-0.7,-5.1,,5.3,,-2.524682569
98,동두천,2013-02-03,-4,-7.9,8.5,2.1,,-3.95501687
98,동두천,2013-02-04,-1,-5.4,2,6.6,,-3.415315872
98,동두천,2013-02-05,-2,-7.9,3,2.6,,-2.295172911
98,동두천,2013-02-06,-1.6,-5,1,4.8,,-3.303445371
98,동두천,2013-02-07,-11.3,-15.1,,7,,-15.54295132
98,동두천,2013-02-08,-12,-17,,4.9,,-15.13553614
98,동두천,2013-02-09,-8.7,-17.1,,3.4,,-10.31189933
98,동두천,2013-02-10,-4.7,-9.2,,6.6,,-7.699004195
98,동두천,2013-02-11,-6.6,-13.9,,2.5,,-7.177307176
98,동두천,2013-02-12,-4.9,-7.5,,4.7,,-6.978581825
98,동두천,2013-02-13,-2.8,-9.6,,4.9,,-4.71378944
98,동두천,2013-02-14,0.2,-5.6,,3.8,,-0.735026346
98,동두천,2013-02-15,-1.2,-5.8,,7.1,,-3.835154921
98,동두천,2013-02-16,-3.4,-10.2,,4.2,,-4.993915661
98,동두천,2013-02-17,0.9,-4.5,,3.3,,0.348010613
98,동두천,2013-02-18,0.7,-2.6,,4.8,,-0.701881986
98,동두천,2013-02-19,-2.9,-7.6,,6.3,,-5.4894821
98,동두천,2013-02-20,-5,-11.1,,4.8,,-7.149234724
98,동두천,2013-02-21,-2.5,-6.7,,5.3,,-4.575348069
98,동두천,2013-02-22,-0.2,-5.1,0.2,8.6,,-3.158992186
98,동두천,2013-02-23,-1.6,-8.1,,7.1,,-4.300777299
98,동두천,2013-02-24,-0.3,-6.4,,4.4,,-1.628843681
98,동두천,2013-02-25,1.8,-3.7,,2.4,,1.980117983
98,동두천,2013-02-26,2.6,-1.1,0,4.4,,1.630956162
98,동두천,2013-02-27,3.6,-0.9,,5.5,,2.296954296
98,동두천,2013-02-28,5.1,-2.4,0.5,5.4,,4.046455851
98,동두천,2013-03-01,1.4,-2.2,2.5,8.1,,-1.123924125
98,동두천,2013-03-02,-0.5,-4.8,,5.5,,-2.38662442
98,동두천,2013-03-03,0.3,-4.6,,4.8,,-1.154327792
98,동두천,2013-03-04,2.8,-2.9,,6,,1.19414718
98,동두천,2013-03-05,2.8,-3.7,,5.9,,1.230847726
98,동두천,2013-03-06,6.9,-1.7,,4.1,,6.587409566
98,동두천,2013-03-07,9.2,4.5,0.5,4.7,,8.945968664
98,동두천,2013-03-08,8,3.7,,4.5,,7.663498302
98,동두천,2013-03-09,11.8,1.2,,8,,11.12105171
98,동두천,2013-03-10,1.8,-2.1,,7.2,,-0.375654501
98,동두천,2013-03-11,3.8,-5.5,,4,,3.169041297
98,동두천,2013-03-12,6,-2.3,5.5,4.3,,5.494632398
98,동두천,2013-03-13,5.2,1.4,12,6.4,,3.82458584
98,동두천,2013-03-14,3.5,-2.1,,5.3,,2.260203599
98,동두천,2013-03-15,3.7,-3.4,,5.3,,2.488055321
98,동두천,2013-03-16,5.9,-1.7,,4.6,,5.258682878
98,동두천,2013-03-17,6.9,-1.1,2,5.2,,6.167992497
98,동두천,2013-03-18,8,3.1,0.5,6.9,,6.925327775
98,동두천,2013-03-19,7.7,3.5,,4.1,,7.482147517
98,동두천,2013-03-20,1.9,-3.3,1.5,8.2,,-0.565272821
98,동두천,2013-03-21,0.8,-6.2,,4.6,,-0.492363051
98,동두천,2013-03-22,2.4,-2.3,,5.2,,1.048418841
98,동두천,2013-03-23,5.1,-3.2,,4.2,,4.528991987
98,동두천,2013-03-24,5.7,0.1,,5.4,,4.730941498
98,동두천,2013-03-25,3.1,-2.1,,5.6,,1.68732722
98,동두천,2013-03-26,3.9,-3.5,,4.6,,3.003370749
98,동두천,2013-03-27,6.3,-2.9,,5.6,,5.347615186
98,동두천,2013-03-28,6.8,0.8,,5.8,,5.855198457
98,동두천,2013-03-29,5.4,-0.8,,6.5,,4.02476043
98,동두천,2013-03-30,4.4,0.3,,5,,3.402173497
98,동두천,2013-03-31,5.7,-2,,4.9,,4.914998269
98,동두천,2013-04-01,7.7,-0.1,0.5,4.8,,7.215919623
98,동두천,2013-04-02,6.8,2.9,10.5,4,,6.518430485
98,동두천,2013-04-03,7.6,1.2,,5.1,,6.998118158
98,동두천,2013-04-04,11.1,2.3,,3.7,,11.42706299
98,동두천,2013-04-05,13.6,6.2,,4.6,,13.94163457
98,동두천,2013-04-06,6.9,2.3,15.5,4.3,,6.504633725
98,동두천,2013-04-07,5.3,2.2,0.5,5.9,,4.101396829
98,동두천,2013-04-08,7.1,-0.6,1.5,7.8,,5.649063397
98,동두천,2013-04-09,5.7,2.2,1.5,9.2,,3.669172816
98,동두천,2013-04-10,4.4,-1.1,0.1,8.6,,2.273387685
98,동두천,2013-04-11,5.9,2.1,0.3,8.4,,4.092697935
98,동두천,2013-04-12,6.3,-0.9,,7.3,,4.841184729
98,동두천,2013-04-13,11.1,1,,8.7,,10.16756203
98,동두천,2013-04-14,8.3,2.7,3,10,,6.60066982
98,동두천,2013-04-15,6.7,-0.3,,3.8,,6.495687795
98,동두천,2013-04-16,12.5,5.5,,7.1,,12.11241154
98,동두천,2013-04-17,14.5,8,,5.1,,14.83708256
98,동두천,2013-04-18,12.5,7.8,,7.2,,12.09274987
98,동두천,2013-04-19,10,2.9,,4.8,,9.817483008
98,동두천,2013-04-20,6.3,4,6.5,4,,5.960198954
98,동두천,2013-04-21,9.5,4.2,,7,,8.643829253
98,동두천,2013-04-22,11.7,3.5,,5.3,,11.60212421
98,동두천,2013-04-23,10.9,8.4,4,4.3,,10.99352851
98,동두천,2013-04-24,13.2,8.3,0.3,7.5,,12.8532949
98,동두천,2013-04-25,8.6,6.8,8,10,,6.959054881
98,동두천,2013-04-26,10.9,5.1,2.5,8.4,,9.986947114
98,동두천,2013-04-27,11.8,4.8,,7.1,,11.29757238
98,동두천,2013-04-28,14.5,5.6,0.1,5.5,,14.74841967
98,동두천,2013-04-29,14.3,8.7,20,9.6,,13.82200938
98,동두천,2013-04-30,13.4,5.7,,6.6,,13.25633598
98,동두천,2013-05-01,13.6,7.3,,5.1,,13.81460894
98,동두천,2013-05-02,11.7,6.7,11.5,5.3,,11.60212421
98,동두천,2013-05-03,12.9,7.7,0.5,5.5,,12.92068163
98,동두천,2013-05-04,13.7,6.1,,5.9,,13.74644182
98,동두천,2013-05-05,14.5,7.3,,6.8,,14.49346788
98,동두천,2013-05-06,14.8,6.3,,5,,15.20049475
98,동두천,2013-05-07,18.5,9.3,,4.1,,19.56110987
98,동두천,2013-05-08,19.1,10.8,,4.8,,20.1106251
98,동두천,2013-05-09,16.7,11.3,2.5,5.5,,17.26155946
98,동두천,2013-05-10,14.9,11.2,14.5,5.1,,15.29151528
98,동두천,2013-05-11,18.6,11.3,,6,,19.3584271
98,동두천,2013-05-12,18.7,16.2,0.5,7.2,,19.31743278
98,동두천,2013-05-13,20.9,15.5,,5.6,,22.04767903
98,동두천,2013-05-14,18.5,12.9,0,3.6,,19.66524377
98,동두천,2013-05-15,20,15.5,,4.6,,21.15863339
98,동두천,2013-05-16,21.2,12.3,,4.4,,22.53863791
98,동두천,2013-05-17,19.7,11.4,,4.8,,20.78929381
98,동두천,2013-05-18,16.8,13,8.5,3.1,,17.91796526
98,동두천,2013-05-19,17.4,13.8,15.5,4.4,,18.26717605
98,동두천,2013-05-20,14.4,10.9,,5.4,,14.65598338
98,동두천,2013-05-21,16.3,7,,4.4,,17.03070025
98,동두천,2013-05-22,18.4,10.3,,3.6,,19.55442486
98,동두천,2013-05-23,21.7,13,,5.2,,23.00570141
98,동두천,2013-05-24,21.3,15,,4.1,,22.6926927
98,동두천,2013-05-25,24.2,16.4,,3.8,,25.9629951
98,동두천,2013-05-26,23.4,19.6,,4.8,,24.97441752
98,동두천,2013-05-27,19,17.6,47.5,5.3,,19.91871207
98,동두천,2013-05-28,18.8,17.3,13,5.4,,19.67554479
98,동두천,2013-05-29,16.1,14.8,3.5,4.3,,16.82909173
98,동두천,2013-05-30,18.7,13.3,,5.2,,19.59265231
98,동두천,2013-05-31,20.1,10.9,,3.9,,21.38454932
98,동두천,2013-06-01,20.9,14.6,,4.5,,22.18734036
98,동두천,2013-06-02,22.4,13.5,,4.2,,23.91090991
98,동두천,2013-06-03,20.7,15.1,,4.9,,21.90697658
98,동두천,2013-06-04,21.3,14.7,0.4,3.8,,22.73698417
98,동두천,2013-06-05,23.3,15.4,,4.3,,24.90910235
98,동두천,2013-06-06,23.9,19.6,,2.9,,25.72850339
98,동두천,2013-06-07,24.2,18.3,,4.8,,25.87930913
98,동두천,2013-06-08,25.6,18,,3.8,,27.52037968
98,동두천,2013-06-09,26.6,19.7,,3.1,,28.66546046
98,동두천,2013-06-10,26.1,17.9,,2.9,,28.1301106
98,동두천,2013-06-11,22.2,19.2,2,3.3,,23.8091175
98,동두천,2013-06-12,20.1,19,6,3.1,,21.53701977
98,동두천,2013-06-13,22.4,17.7,,3.7,,23.97376168
98,동두천,2013-06-14,23.8,18.3,,4.6,,25.44372643
98,동두천,2013-06-15,23.8,19,0,5.4,,25.37959184
98,동두천,2013-06-16,22,17.5,,4.7,,23.40229819
98,동두천,2013-06-17,21.7,19.1,0.2,4,,23.15373012
98,동두천,2013-06-18,21.1,19.6,9,2.3,,22.80159139
98,동두천,2013-06-19,24.2,20.2,,3.5,,25.99171806
98,동두천,2013-06-20,24.7,18.8,,3.8,,26.51920388
98,동두천,2013-06-21,25,20.3,,5.7,,26.73197775
98,동두천,2013-06-22,24.5,19.2,,4.7,,26.22580005
98,동두천,2013-06-23,22.6,19.5,0,4.8,,24.0695259
98,동두천,2013-06-24,23.2,17.9,,4.9,,24.73897296
98,동두천,2013-06-25,23.8,19.1,0.2,4.5,,25.45239013
98,동두천,2013-06-26,24.5,19.8,0,5.6,,26.16550299
98,동두천,2013-06-27,24.8,18.8,,4.5,,26.57826936
98,동두천,2013-06-28,24.6,20.3,1,5.3,,26.2985603
98,동두천,2013-06-29,26.3,19.1,,4.2,,28.280244
98,동두천,2013-06-30,27,20.9,0,5,,29.04083314
98,동두천,2013-07-01,25.8,21,,4.4,,27.70935491
98,동두천,2013-07-02,23.3,21.2,59,8.4,,24.60468508
98,동두천,2013-07-03,24.8,20.4,,5.8,,26.49725599
98,동두천,2013-07-04,24.8,22.8,1,4.7,,26.56462027
98,동두천,2013-07-05,25.2,21.7,0.1,4.1,,27.05454021
98,동두천,2013-07-06,25.4,21.3,,4.1,,27.2782247
98,동두천,2013-07-07,24.3,20.8,2.5,4.4,,26.02325154
98,동두천,2013-07-08,22.9,21.5,131,8.5,,24.12704376
98,동두천,2013-07-09,24.7,22.5,1.5,5.2,,26.41875052
98,동두천,2013-07-10,24.1,23.5,18.5,3.6,,25.87110256
98,동두천,2013-07-11,23.7,23.2,94.5,4.8,,25.31375187
98,동두천,2013-07-12,23,22.5,43.5,5.3,,24.47574652
98,동두천,2013-07-13,23.2,21.7,53,2.8,,24.97876964
98,동두천,2013-07-14,23.7,21.9,110.5,5.9,,25.22863823
98,동두천,2013-07-15,25,23.3,34,4.6,,26.79691371
98,동두천,2013-07-16,25.3,23.2,25.5,9,,26.94149935
98,동두천,2013-07-17,25.1,22.9,7.5,3.9,,26.95685981
98,동두천,2013-07-18,24.1,23.5,8,2.9,,25.94683132
98,동두천,2013-07-19,26.2,22.8,,5.3,,28.12137408
98,동두천,2013-07-20,25.7,23.6,19,4.7,,27.58108094
98,동두천,2013-07-21,25.3,24,10,5,,27.1122614
98,동두천,2013-07-22,24.9,23.1,61.5,4.1,,26.71901348
98,동두천,2013-07-23,24.8,24.1,50.5,4.2,,26.59973089
98,동두천,2013-07-24,24.8,22.4,15,7,,26.43506689
98,동두천,2013-07-25,25.1,22.1,0.1,5.2,,26.87382373
98,동두천,2013-07-26,25.7,21.8,,4.2,,27.60803876
98,동두천,2013-07-27,25.2,21.4,0.5,5,,26.998816
98,동두천,2013-07-28,23.6,21.8,27,5,,25.18368965
98,동두천,2013-07-29,26.6,23.5,9.5,5.1,,28.58367231
98,동두천,2013-07-30,25.6,23.2,1.5,3.9,,27.51409086
98,동두천,2013-07-31,25.3,23.6,34,5.8,,27.07064647
98,동두천,2013-08-01,26.6,23.1,,2.2,,28.71812933
98,동두천,2013-08-02,25.6,23.8,3.5,3.3,,27.55408291
98,동두천,2013-08-03,27.4,25.4,1.5,6,,29.47524124
98,동두천,2013-08-04,27.3,22.9,12.5,6.6,,29.34911103
98,동두천,2013-08-05,26.4,24.4,6,4.1,,28.39664714
98,동두천,2013-08-06,25.5,21,13,8.6,,27.19147796
98,동두천,2013-08-07,27.7,23.8,,3.4,,29.86490714
98,동두천,2013-08-08,28.4,26.3,1,4.8,,30.62999009
98,동두천,2013-08-09,28.7,24.9,12,4.6,,30.96924115
98,동두천,2013-08-10,27.7,24.6,1,4.6,,29.84158508
98,동두천,2013-08-11,27.6,23.5,,3.9,,29.74301505
98,동두천,2013-08-12,28.6,25.4,0,4.4,,30.85674786
98,동두천,2013-08-13,27.6,23.9,,4.6,,29.72881948
98,동두천,2013-08-14,27.5,23.8,,5.4,,29.60058666
98,동두천,2013-08-15,27,23.7,1.5,5.4,,29.03018196
98,동두천,2013-08-16,27.7,24.9,0.1,5.8,,29.82292081
98,동두천,2013-08-17,27.6,25.7,0,6.4,,29.69927078
98,동두천,2013-08-18,27.1,25.5,4.5,5.3,,29.14670683
98,동두천,2013-08-19,27.2,23.3,11.5,3.9,,29.29723022
98,동두천,2013-08-20,25.7,20.4,,3.2,,27.67124396
98,동두천,2013-08-21,26.2,21,,2.2,,28.28960462
98,동두천,2013-08-22,27.7,24,,4.6,,29.84158508
98,동두천,2013-08-23,25,21.2,12,3.8,,26.85292915
98,동두천,2013-08-24,24.9,20.1,,3.6,,26.75765381
98,동두천,2013-08-25,24.9,19.1,,2.8,,26.8300822
98,동두천,2013-08-26,25.2,19.7,,4.8,,27.01042364
98,동두천,2013-08-27,24,18.7,,4.1,,25.71243328
98,동두천,2013-08-28,25.2,20.9,,4.4,,27.03491356
98,동두천,2013-08-29,24.5,21.4,44.5,6.8,,26.09667917
98,동두천,2013-08-30,24.5,21.2,,4.7,,26.22580005
98,동두천,2013-08-31,23.4,19.2,,3.8,,25.07306105
98,동두천,2013-09-01,22.1,17.8,,4.2,,23.57480728
98,동두천,2013-09-02,20.5,14.2,,4.1,,21.79795474
98,동두천,2013-09-03,19.5,13,,5.1,,20.51749155
98,동두천,2013-09-04,20,13.3,,4.2,,21.22208892
98,동두천,2013-09-05,19.1,13.9,,2.4,,20.62290537
98,동두천,2013-09-06,19.7,17.1,0,3.7,,20.97587792
98,동두천,2013-09-07,20.5,14.5,,3.1,,21.97569304
98,동두천,2013-09-08,20.9,16,,3.5,,22.34191697
98,동두천,2013-09-09,21.9,17.3,,3,,23.52789753
98,동두천,2013-09-10,20.8,18.7,3,2.9,,22.3444205
98,동두천,2013-09-11,19.4,18.1,15.5,1.8,,21.13652179
98,동두천,2013-09-12,21.9,18.6,2,3.2,,23.49465197
98,동두천,2013-09-13,21.9,20.1,40.5,3.9,,23.3905811
98,동두천,2013-09-14,22.3,20.8,10.5,4,,23.82360796
98,동두천,2013-09-15,21.4,15.4,,5.7,,22.60882101
98,동두천,2013-09-16,19.2,13.1,,4.4,,20.29050009
98,동두천,2013-09-17,20.2,14,,2.5,,21.78295132
98,동두천,2013-09-18,22.1,14.5,,2.7,,23.79869831
98,동두천,2013-09-19,23,17.5,,3.3,,24.69028583
98,동두천,2013-09-20,21.9,17.3,,4.3,,23.33798917
98,동두천,2013-09-21,22.5,19.1,,3.9,,24.05925836
98,동두천,2013-09-22,21.9,18.2,,3.4,,23.4631083
98,동두천,2013-09-23,21.9,16.1,,2.8,,23.56306004
98,동두천,2013-09-24,21,19.5,5.5,4,,22.37220597
98,동두천,2013-09-25,18.7,14,0.1,5.4,,19.56146384
98,동두천,2013-09-26,15.1,8.7,,4.5,,15.65724083
98,동두천,2013-09-27,15.7,7.1,,4.3,,16.38020225
98,동두천,2013-09-28,15.9,13.9,6.5,3,,16.96271719
98,동두천,2013-09-29,16.1,13.6,20,2.7,,17.28092866
98,동두천,2013-09-30,19.3,15.9,,3.9,,20.49297965
98,동두천,2013-10-01,19.6,13.8,,2.5,,21.13458732
98,동두천,2013-10-02,18.4,13.1,,5.9,,19.14307413
98,동두천,2013-10-03,14.2,7.6,,5.6,,14.3839511
98,동두천,2013-10-04,14.4,6.1,,2.9,,15.3579268
98,동두천,2013-10-05,17.5,8.4,,2.9,,18.74200969
98,동두천,2013-10-06,18.3,9,0.1,2.8,,19.64263345
98,동두천,2013-10-07,20.5,17.5,,3.6,,21.88162191
98,동두천,2013-10-08,18,15.5,4,3.9,,19.04417892
98,동두천,2013-10-09,18.5,13,,4.1,,19.56110987
98,동두천,2013-10-10,19.2,12.7,,2.9,,20.59779708
98,동두천,2013-10-11,17.1,10.5,0.5,8.4,,17.2958161
98,동두천,2013-10-12,14.6,7.3,,5.6,,14.8414871
98,동두천,2013-10-13,14.7,9.6,,2.7,,15.76011574
98,동두천,2013-10-14,15.9,9.2,,4.3,,16.60464699
98,동두천,2013-10-15,10.7,7.6,13.5,4.1,,10.83741484
98,동두천,2013-10-16,9.7,3.9,,3.8,,9.832940475
98,동두천,2013-10-17,9.8,3,,2.6,,10.49008883
98,동두천,2013-10-18,11.2,4.3,,3,,11.81999259
98,동두천,2013-10-19,12.1,6,,3.1,,12.7635543
98,동두천,2013-10-20,15.1,9,0,3,,16.08735981
98,동두천,2013-10-21,14.5,9,,3.2,,15.36128861
98,동두천,2013-10-22,14.5,6.7,,3.8,,15.17254476
98,동두천,2013-10-23,13.8,7.8,,2.6,,14.82407585
98,동두천,2013-10-24,11.6,6.7,,5.3,,11.48819835
98,동두천,2013-10-25,8.2,2,,5.3,,7.614719072
98,동두천,2013-10-26,8.4,3,,3.6,,8.472534179
98,동두천,2013-10-27,9.5,2.1,,3.3,,9.820570199
98,동두천,2013-10-28,9.6,3.7,,1.8,,10.77695239
98,동두천,2013-10-29,11.6,6.6,0.1,5,,11.57024206
98,동두천,2013-10-30,9.4,4.7,,2.8,,9.950467714
98,동두천,2013-10-31,9.4,2.6,,2,,10.42278613
98,동두천,2013-11-01,12.4,5,,2.9,,13.17464752
98,동두천,2013-11-02,9.9,7.8,8.6,2.4,,10.7088219
98,동두천,2013-11-03,10.5,6.7,,3.4,,10.88026232
98,동두천,2013-11-04,10.4,7.1,,4,,10.53769751
98,동두천,2013-11-05,9.8,4.2,,3.7,,9.983637481
98,동두천,2013-11-06,10.3,6.3,8.3,3.1,,10.78952457
98,동두천,2013-11-07,11.5,6.4,0.4,6.2,,11.1482813
98,동두천,2013-11-08,6.9,0.5,,2.5,,7.410882737
98,동두천,2013-11-09,9.1,2.7,8.6,3.7,,9.206408359
98,동두천,2013-11-10,4.9,0.1,0,6.3,,3.5099783
98,동두천,2013-11-11,2.3,-2.2,,5.9,,0.656737905
98,동두천,2013-11-12,2.5,-3.9,,5.4,,1.080351382
98,동두천,2013-11-13,2.8,-3.6,,3,,2.628740105
98,동두천,2013-11-14,5.2,0,0.1,3,,5.254812243
98,동두천,2013-11-15,7,2.4,2.8,4.1,,6.699251809
98,동두천,2013-11-16,5.4,-0.5,2.3,8.9,,3.382702846
98,동두천,2013-11-17,4.5,1.3,2.8,9.2,,2.244746824
98,동두천,2013-11-18,0.7,-2.5,,9,,-2.210396725
98,동두천,2013-11-19,-0.1,-3,,7.6,,-2.725620288
98,동두천,2013-11-20,0.5,-4.2,,5.4,,-1.201267441
98,동두천,2013-11-21,0.8,-4.3,,4.3,,-0.340930823
98,동두천,2013-11-22,2.5,-4.1,,4.5,,1.47116254
98,동두천,2013-11-23,3.9,-2.9,,4.6,,3.003370749
98,동두천,2013-11-24,6.1,0.6,18.9,5.5,,5.152794977
98,동두천,2013-11-25,4.2,-1.4,7.8,11.1,,1.466547606
98,동두천,2013-11-26,1,-4.6,0.1,5.4,,-0.630862735
98,동두천,2013-11-27,-1.3,-5.9,4.8,6.2,,-3.602644259
98,동두천,2013-11-28,-5.3,-9.1,,4.9,,-7.545785825
98,동두천,2013-11-29,-2.9,-8.9,,4.5,,-4.608585299
98,동두천,2013-11-30,3.4,-4,,4.6,,2.439542716
98,동두천,2013-12-01,2.3,-2.2,,3.7,,1.656182603
98,동두천,2013-12-02,2.5,-3.1,,2,,3.077706116
98,동두천,2013-12-03,5,2,,5.6,,3.8606232
98,동두천,2013-12-04,2.9,-1.8,,3.8,,2.268501066
98,동두천,2013-12-05,3.3,0.7,,3.5,,2.876311128
98,동두천,2013-12-06,1.5,-3.9,,4.8,,0.203009627
98,동두천,2013-12-07,3.9,0.6,,4.9,,2.875960871
98,동두천,2013-12-08,1.6,-1.5,0.6,1.4,,2.785002689
98,동두천,2013-12-09,2.2,0.4,16.7,6.1,,0.467334947
98,동두천,2013-12-10,-0.4,-3.1,,5.8,,-2.401624555
98,동두천,2013-12-11,-2.7,-5.2,7.2,7,,-5.542647813
98,동두천,2013-12-12,-5.3,-9.7,4.3,6.5,,-8.349203655
98,동두천,2013-12-13,-8.1,-11.8,,5.7,,-11.17815785
98,동두천,2013-12-14,-7.8,-13.1,0.4,1.7,,-7.47192201
98,동두천,2013-12-15,-6.9,-12.7,,2.9,,-7.893997552
98,동두천,2013-12-16,-6.3,-12.1,,2,,-6.289932166
98,동두천,2013-12-17,-3.3,-9.9,,2.8,,-3.87992609
98,동두천,2013-12-18,0.4,-5.2,1.7,4.3,,-0.789820301
98,동두천,2013-12-19,-4.1,-7.5,1.9,7,,-7.170604198
98,동두천,2013-12-20,-5.2,-8.8,,4.6,,-7.258299439
98,동두천,2013-12-21,-5.4,-9.9,,2.5,,-5.880579184
98,동두천,2013-12-22,-4.5,-10.7,,2.4,,-4.808873955
98,동두천,2013-12-23,-2.7,-6.3,,3.7,,-3.895453982
98,동두천,2013-12-24,-4,-10.1,,1.8,,-3.599592897
98,동두천,2013-12-25,-3.5,-9.7,,2,,-3.309319986
98,동두천,2013-12-26,-2.6,-4.9,2.1,5.1,,-4.589916179
98,동두천,2013-12-27,-7.4,-10.5,,4.8,,-9.863909561
98,동두천,2013-12-28,-8.3,-13.8,,4.3,,-10.55316646
98,동두천,2013-12-29,-4.5,-12.7,,4.8,,-6.583677466
98,동두천,2013-12-30,0.9,-5.9,,7.3,,-1.457768543
98,동두천,2013-12-31,2.2,-4.3,,8.2,,-0.212261306
98,동두천,2014-01-01,2.7,-2.7,,7.9,,0.461839531
98,동두천,2014-01-02,0.4,-4.3,,3.8,,-0.512542834
98,동두천,2014-01-03,0.1,-4.2,,2.7,,-0.099790425
98,동두천,2014-01-04,-1.1,-5.5,,3.5,,-1.990090332
98,동두천,2014-01-05,-2,-6.5,,4.2,,-3.425436754
98,동두천,2014-01-06,-1.2,-7.5,,2.8,,-1.593010579
98,동두천,2014-01-07,1.6,-2,0,2.3,,1.848405223
98,동두천,2014-01-08,-0.2,-6.4,0.3,5.4,,-1.999834028
98,동두천,2014-01-09,-8.2,-11.4,,6.6,,-11.7511418
98,동두천,2014-01-10,-7,-12.2,,4.4,,-9.160105387
98,동두천,2014-01-11,-3.4,-9,,4.4,,-5.113457306
98,동두천,2014-01-12,-4,-8.4,,6.7,,-6.930787813
98,동두천,2014-01-13,-7.6,-13.3,,4,,-9.558637617
98,동두천,2014-01-14,-6.1,-12.8,,4,,-7.883943023
98,동두천,2014-01-15,-5,-11.4,,5.1,,-7.316512493
98,동두천,2014-01-16,-1.9,-5.9,,1.7,,-1.258435092
98,동두천,2014-01-17,-2.6,-7.6,,1.8,,-2.119654411
98,동두천,2014-01-18,-3.1,-6.4,,7.5,,-6.198710946
98,동두천,2014-01-19,-3.8,-10.9,,4.4,,-5.563084871
98,동두천,2014-01-20,-1.8,-4.4,4.3,6,,-4.094187482
98,동두천,2014-01-21,-6.6,-10.1,0,3.7,,-8.225730519
98,동두천,2014-01-22,-5.5,-13.6,,3,,-6.453092704
98,동두천,2014-01-23,-2.2,-9,,3,,-2.842243515
98,동두천,2014-01-24,3,-1.9,,3.8,,2.379742822
98,동두천,2014-01-25,3.4,-1.2,1.8,5.1,,2.226574607
98,동두천,2014-01-26,-2.8,-6.2,,6.1,,-5.287847947
98,동두천,2014-01-27,-1.8,-8.9,,5.1,,-3.68105074
98,동두천,2014-01-28,0.5,-5.1,1.3,5.1,,-1.068062606
98,동두천,2014-01-29,-0.3,-9.3,,3.1,,-0.835317175
98,동두천,2014-01-30,2.6,-2.5,2.9,6.9,,0.652789387
98,동두천,2014-01-31,-0.8,-6.8,,2.1,,-0.537493144
98,동두천,2014-02-01,2,-1.1,16.6,2.8,,1.891813056
98,동두천,2014-02-02,3.3,0.3,0.1,3.7,,2.76650992
98,동두천,2014-02-03,-3.9,-8.6,,6.8,,-6.8564409
98,동두천,2014-02-04,-7.5,-11.1,,7.3,,-11.2561403
98,동두천,2014-02-05,-6.1,-10.8,,3.1,,-7.196079638
98,동두천,2014-02-06,-2.3,-7.4,,3.5,,-3.31729073
98,동두천,2014-02-07,1.2,-3.7,0.3,3.8,,0.377391214
98,동두천,2014-02-08,-0.9,-2.6,5.5,3.1,,-1.493327085
98,동두천,2014-02-09,-2.2,-5,0.1,3.6,,-3.274269948
98,동두천,2014-02-10,-1.4,-4.5,,3.2,,-2.114451573
98,동두천,2014-02-11,-1.7,-7.7,,3,,-2.295145153
